time, light, accx, accy, accz,
23.872, 2.1339, -0.0421719, 0.0696585, 9.86537, 
23.904, 2.1251, 0.0828848, 0.149059, 9.81678, 
23.936, 2.2182, -0.448876, 0.0485158, 9.84261, 
23.968, 2.13366, -0.0789273, 0.00262591, 9.83922, 
24, 2.21899, -0.0565502, 0.0326717, 9.77571, 
24.032, 2.21625, -0.0998489, 0.0426022, 9.75636, 
24.064, 2.14524, -1.91207, 0.130379, 9.72614, 
24.096, 2.23319, -0.0472027, 0.0497201, 9.85622, 
24.128, 2.23349, 0.831731, 0.0637147, 9.70862, 
24.16, 2.15123, 0.0318145, -0.0287283, 9.84393, 
24.192, 2.24497, 0.00253992, 0.0768749, 9.77308, 
24.224, 2.13034, -1.63264, 0.0238803, 9.81116, 
24.256, 2.11388, -1.74647, 0.433318, 9.77539, 
24.288, 2.25034, -0.0232473, -0.119042, 9.81867, 
24.32, 2.13004, -0.0176928, 0.0868777, 9.84198, 
24.352, 2.21471, -0.883415, -0.125403, 9.8093, 
24.384, 2.21329, -1.84679, 0.183581, 9.83137, 
24.416, 2.14297, 1.68949, 0.701326, 9.89106, 
24.448, 2.24817, 0.0707013, 0.0760977, 9.75196, 
24.48, 2.21786, -1.70975, 0.105715, 9.82236, 
24.512, 2.1452, 2.00801, 0.548266, 9.81463, 
24.544, 2.22904, 1.59598, 0.538209, 9.79028, 
24.576, 2.11995, 1.33378, 0.599415, 9.70727, 
24.608, 2.13099, -0.996283, -0.177578, 9.84606, 
24.64, 2.23234, 0.209343, -0.00370366, 9.82967, 
24.672, 2.12958, -1.52121, -0.599794, 9.84268, 
24.704, 2.14366, 0.0184808, 0.461473, 9.74957, 
24.736, 2.23806, -1.58454, -0.531206, 9.77317, 
24.768, 2.10381, -0.0112035, 0.179098, 9.84339, 
24.8, 2.21332, 0.000881677, 0.0262976, 9.85525, 
24.832, 2.2308, 0.0264612, -0.106907, 9.83588, 
24.864, 2.13488, 0.00714578, -0.0633633, 9.86269, 
24.896, 2.21517, 0.0864566, -0.118767, 9.71513, 
24.928, 2.19641, -0.0386958, -0.0314873, 9.79363, 
24.96, 2.0917, 0.0449414, 0.0158549, 9.74927, 
24.992, 2.19219, 0.0249345, 0.00612872, 9.76128, 
25.024, 2.09136, -0.0504232, 0.0695435, 9.83592, 
25.056, 2.08502, -0.0263216, -0.134006, 9.8434, 
25.088, 2.18758, 0.341637, 0.0335971, 9.73913, 
25.12, 2.09205, -1.78374, -0.186102, 9.81277, 
25.152, 2.17404, -0.0548642, 0.0172549, 9.74614, 
25.184, 2.17457, 0.0806456, -0.082124, 9.71254, 
25.216, 2.08556, 0.0874972, 0.0713447, 9.79922, 
25.248, 2.18198, -0.0562635, 0.0609863, 9.88197, 
25.28, 2.17605, -1.75238, 0.295672, 9.81882, 
25.312, 2.09101, -0.0116766, -0.0258203, 9.85978, 
25.344, 2.1854, 0.00105485, -0.0842085, 9.77955, 
25.376, 2.06417, 0.0354246, -0.134013, 9.85672, 
25.408, 2.06791, -0.00964442, 0.00923339, 9.79036, 
25.44, 2.1674, -0.0453279, -0.0562156, 9.80317, 
25.472, 2.03902, 0.049415, -0.0429195, 9.78861, 
25.504, 2.01549, -0.0140908, -0.0408603, 9.81506, 
25.536, 2.1049, 0.0358159, 0.0678926, 9.75489, 
25.568, 1.99701, 0.0126535, 0.0729367, 9.79461, 
25.6, 2.04487, -0.034329, 0.0359057, 9.83574, 
25.632, 2.01718, -0.00219883, -0.000867678, 9.79824, 
25.664, 1.91248, -0.041514, -0.118941, 9.80052, 
25.696, 1.9909, 0.0486515, 0.0168518, 9.8556, 
25.728, 1.96619, -0.0472713, 0.159677, 9.78825, 
25.76, 1.84809, -0.0189399, 0.00268607, 9.77518, 
25.792, 1.90812, 0.0719999, 0.0470114, 9.81805, 
25.824, 1.81452, -0.0255472, -0.0312888, 9.8185, 
25.856, 1.79843, 0.00232998, 0.0749088, 9.77768, 
25.888, 1.85843, -0.00680146, 0.020741, 9.75826, 
25.92, 1.78702, -0.0313103, 0.0580115, 9.80001, 
25.952, 1.86435, 0.0125092, 0.0236374, 9.78411, 
25.984, 1.84866, 0.00726966, 0.0385783, 9.81166, 
26.016, 1.77539, -0.086731, 0.0175661, 9.81991, 
26.048, 1.82564, 0.0691533, 0.0964468, 9.85685, 
26.08, 1.81851, -0.0603128, 0.065908, 9.79552, 
26.112, 1.76267, -0.0712989, 0.0603639, 9.76978, 
26.144, 1.81151, -0.0509814, 0.155605, 9.84797, 
26.176, 1.75099, 0.105595, 0.115295, 9.81804, 
26.208, 1.73228, 0.0519615, 0.0360235, 9.8102, 
26.24, 1.78764, 0.00480636, 0.0998639, 9.82886, 
26.272, 1.73298, 0.074103, 0.0050578, 9.80862, 
26.304, 1.73165, 0.0797744, -0.0637843, 9.76213, 
26.336, 1.76541, -0.0758607, 0.104972, 9.84162, 
26.368, 1.71408, -0.919341, 0.0848707, 9.81101, 
26.4, 1.75758, 0.0361178, 0.0357007, 9.78059, 
26.432, 1.76365, -4.1472e-05, 0.116772, 9.71898, 
26.464, 1.71074, 0.0777033, 0.0263795, 9.7804, 
26.496, 1.75567, -0.0190442, -0.0424467, 9.7699, 
26.528, 1.75739, 0.0185043, 0.0579118, 9.80011, 
26.56, 1.72473, -0.035746, 0.0333499, 9.76247, 
26.592, 1.75699, 0.0689953, -0.0345271, 9.81699, 
26.624, 1.71021, 0.410866, -0.400175, 9.81922, 
26.656, 1.71172, 0.148088, 0.106318, 9.86204, 
26.688, 1.74798, -0.0396564, 0.0112814, 9.8443, 
26.72, 1.72422, 0.00834486, 7.3621e-05, 9.8158, 
26.752, 1.74498, 0.0184488, -0.0195855, 9.79837, 
26.784, 1.75404, -0.0523019, -0.0493815, 9.77302, 
26.816, 1.72857, -0.00316217, -0.0404419, 9.76988, 
26.848, 1.75618, -0.0664976, -0.0417582, 9.89972, 
26.88, 1.75202, -0.0204477, 0.104977, 9.7774, 
26.912, 1.74125, -0.0473272, 0.098016, 9.72847, 
26.944, 1.76201, 0.86285, -0.0124388, 9.81929, 
26.976, 1.74627, 0.0616922, 0.00879656, 9.89693, 
27.008, 1.74738, -0.211192, -0.0141417, 9.78226, 
27.04, 1.77537, -0.0577753, -0.16306, 9.80535, 
27.072, 1.76216, 0.0860289, 0.00175331, 9.82278, 
27.104, 1.78528, -1.64654, 0.408698, 9.78912, 
27.136, 1.78751, -1.76496, 0.455307, 9.8239, 
27.168, 1.79397, -1.86941, 0.234202, 9.69693, 
27.2, 1.8129, -1.83805, 0.22976, 9.72815, 
27.232, 1.80464, 2.98757, -1.3106, 9.75158, 
27.264, 1.79116, 1.6427, 0.51635, 9.86952, 
27.296, 1.82125, 0.0693533, 0.263137, 9.74169, 
27.328, 1.82666, -0.075347, -0.0718633, 9.78531, 
27.36, 1.8293, 0.077777, -0.0393373, 9.75905, 
27.392, 1.84596, 0.0775568, -0.00497018, 9.83383, 
27.424, 1.85871, -0.0144852, 0.00385063, 9.79161, 
27.456, 1.8627, 0.0578373, -0.0595517, 9.77847, 
27.488, 1.87884, 0.0534062, 0.0528567, 9.78041, 
27.52, 1.86554, -1.75624, 0.266761, 9.81533, 
27.552, 1.89563, -1.72985, 0.220067, 9.82246, 
27.584, 1.90427, 1.75834, 0.588551, 9.86845, 
27.616, 1.90527, 0.0325981, 0.156851, 9.77021, 
27.648, 1.93248, 1.72192, 0.526804, 9.87707, 
27.68, 1.9448, 0.0381416, 0.134807, 9.7122, 
27.712, 1.97913, -1.69666, 0.177233, 9.82455, 
27.744, 2.00047, 1.87852, 0.425559, 9.79664, 
27.776, 1.99312, 0.0712665, 0.0920798, 9.84906, 
27.808, 2.01205, -1.7822, -0.0823353, 9.78091, 
27.84, 2.03162, 2.18529, 0.540589, 9.79652, 
27.872, 2.04871, 1.48078, 0.706164, 9.75954, 
27.904, 2.07687, -2.36306, 0.229812, 9.80556, 
27.936, 2.1022, 1.67847, 0.496445, 9.79709, 
27.968, 2.09703, -0.0356789, -0.0475424, 9.7785, 
28, 2.11697, -1.04527, -1.32736, 9.90239, 
28.032, 2.14649, -1.59956, -0.58888, 9.90472, 
28.064, 2.1697, -1.44261, -0.565279, 9.81104, 
28.096, 2.15747, -1.55156, -0.490258, 9.88409, 
28.128, 2.15601, 1.18911, 3.13056, 8.55055, 
28.16, 2.16311, 0.035197, -0.164221, 9.62572, 
28.192, 2.15831, -1.55571, -0.56733, 9.91731, 
28.224, 2.17866, -1.67659, -0.509196, 9.83935, 
28.256, 2.16433, -1.91547, -0.3001, 9.8636, 
28.288, 2.18984, 1.35579, -0.84211, 9.86431, 
28.32, 2.19237, 0.0740051, -0.394943, 9.81324, 
28.352, 2.17119, -0.225945, 0.104273, 9.88095, 
28.384, 2.20496, -1.72858, 0.422415, 9.8581, 
28.416, 2.21037, -1.78264, 0.448074, 9.711, 
28.448, 2.19324, 1.50363, 0.75201, 9.84783, 
28.48, 2.19156, 1.7159, 0.46219, 9.75982, 
28.512, 2.18425, 0.0280097, 0.00876892, 9.7833, 
28.544, 2.21651, 0.011773, -0.162543, 9.80082, 
28.576, 2.18931, 0.00999014, -0.0379621, 9.70561, 
28.608, 2.21524, -0.0246482, 0.0527327, 9.84141, 
28.64, 2.19626, 0.00821953, -0.161709, 9.84964, 
28.672, 2.22675, -0.0958341, -0.278298, 9.81045, 
28.704, 2.22837, 0.0095199, 0.0189536, 9.86981, 
28.736, 2.21464, 0.0457222, 0.0102983, 9.81419, 
28.768, 2.19887, 0.0784618, 0.0116011, 9.8025, 
28.8, 2.21829, 0.0270587, 0.0419415, 9.82589, 
28.832, 2.22918, -1.73771, -0.277345, 9.84448, 
28.864, 2.23984, 0.148805, 0.451791, 9.85217, 
28.896, 2.22861, 0.0481054, 0.0387426, 9.73903, 
28.928, 2.20707, -0.0759523, -0.360426, 9.72917, 
28.96, 2.23788, -0.346882, -0.0290517, 9.80159, 
28.992, 2.22478, -1.6595, -0.154681, 9.82265, 
29.024, 2.23335, 0.7041, -0.553671, 9.86577, 
29.056, 2.23932, 0.0382559, 0.107329, 9.70547, 
29.088, 2.23702, -0.00610794, 0.128176, 9.82074, 
29.12, 2.21426, -1.39688, 0.166103, 9.77767, 
29.152, 2.25001, -0.0539761, -0.0544054, 9.80266, 
29.184, 2.23835, -1.78642, 0.234262, 9.83239, 
29.216, 2.21554, -0.0328201, -0.00774255, 9.72853, 
29.248, 2.23573, -1.7977, 0.194673, 9.79663, 
29.28, 2.23392, 0.0332701, -0.0661032, 9.88068, 
29.312, 2.23221, 0.0637798, -0.0493067, 9.8389, 
