time, x, y, heading, vel_x, vel_y, vel_heading,
0.88, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.57787e-15, 1.75548e-16, -2.22431e-15, 
0.888, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.53721e-15, -5.27278e-16, -1.80439e-15, 
0.896, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.04932e-15, -1.2049e-16, -1.20427e-15, 
0.904, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.06287e-15, 2.60251e-16, -3.64012e-16, 
0.912, -5.67588e-10, -4.41073e-08, 1.22376e-05, 4.11997e-15, -1.98629e-16, -1.5668e-15, 
0.92, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.08998e-15, -2.52839e-16, 6.05629e-17, 
0.928, -5.67588e-10, -4.41073e-08, 1.22376e-05, 4.03865e-15, 2.95614e-16, -7.72918e-16, 
0.936, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.34747e-15, 2.32299e-16, 8.56986e-16, 
0.944, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.08998e-15, 5.45913e-16, -3.14249e-16, 
0.952, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.06287e-15, 5.60736e-16, -8.32845e-16, 
0.96, -5.67588e-10, -4.41073e-08, 1.22376e-05, 4.13352e-15, 2.32722e-16, -2.04114e-15, 
0.968, -5.67588e-10, -4.41073e-08, 1.22376e-05, 3.78116e-15, -5.77676e-16, -4.28387e-16, 
0.976, -5.67587e-10, -4.41073e-08, 1.22376e-05, 3.42879e-15, -9.07172e-16, 3.85612e-16, 
0.984, -5.67587e-10, -4.41073e-08, 1.22376e-05, 3.04932e-15, -8.49362e-16, 8.98278e-16, 
0.992, -5.67587e-10, -4.41073e-08, 1.22376e-05, 3.7676e-15, 2.81638e-17, -6.12405e-16, 
1, -5.67587e-10, -4.41073e-08, 1.22376e-05, 3.41524e-15, 9.21148e-17, -5.73653e-16, 
1.008, -5.67587e-10, -4.41073e-08, 1.22376e-05, 3.75405e-15, 1.22608e-16, -7.24425e-16, 
1.016, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.024, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.032, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.04, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.048, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.056, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.064, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.072, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.08, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.088, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.096, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.104, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.112, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.12, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.128, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.136, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.144, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.152, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.16, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.168, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.176, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.184, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.192, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.2, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.208, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.216, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.224, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.232, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.24, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.248, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.256, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.264, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.272, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.28, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.288, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.296, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.304, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.312, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.32, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.328, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.336, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.344, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.352, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.36, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.368, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.376, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.384, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.392, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.4, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.408, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.416, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.424, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.432, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.44, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.448, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.456, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.464, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.472, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.48, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.488, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.496, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.504, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.512, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.52, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.528, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.536, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.544, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
